name,District,tw_name
"Eshoo, Anna G.",California 18th,@RepAnnaEshoo
"Espaillat, Adriano",New York 13th,@RepEspaillat
"Estes, Ron",Kansas 4th,@RepRonEstes
"Evans, Dwight",Pennsylvania 3rd,@RepDwightEvans
"Ferguson, A. Drew",Georgia 3rd,@RepDrewFerguson
"Finkenauer, Abby",Iowa 1st,@RepFinkenauer
"Fitzpatrick, Brian",Pennsylvania 1st,@RepBrianFitz
"Fleischmann, Chuck",Tennessee 3rd,@RepChuck
"Fletcher, Lizzie",Texas 7th,@RepFletcher
"Flores, Bill",Texas 17th,@RepBillFlores
"Fortenberry, Jeff",Nebraska 1st,@JeffFortenberry
"Foster, Bill",Illinois 11th,@RepBillFoster
"Foxx, Virginia",North Carolina 5th,@virginiafoxx
"Frankel, Lois",Florida 21st,@RepLoisFrankel
"Fudge, Marcia L.",Ohio 11th,@RepMarciaFudge
"Fulcher, Russ",Idaho 1st,@RepRussFulcher
"Gabbard, Tulsi",Hawaii 2nd,@TulsiPress
"Gaetz, Matt",Florida 1st,@RepMattGaetz
"Gallagher, Mike",Wisconsin 8th,@RepGallagher
"Gallego, Ruben",Arizona 7th,@RepRubenGallego
"Garamendi, John",California 3rd,@RepGaramendi
"García, Jesús ""Chuy""",Illinois 4th,@RepChuyGarcia
"Garcia, Sylvia",Texas 29th,@RepSylviaGarcia
"Gianforte, Greg",Montana At Large,
"Gibbs, Bob",Ohio 7th,@RepBobGibbs
"Gohmert, Louie",Texas 1st,@replouiegohmert
"Golden, Jared",Maine 2nd,@RepGolden
"Gomez, Jimmy",California 34th,@RepJimmyGomez
"González-Colón, Jenniffer",Puerto Rico Resident Commissioner,@RepJenniffer
"Gonzalez, Anthony",Ohio 16th,@RepAGonzalez
"Gonzalez, Vicente",Texas 15th,@RepGonzalez
"Gooden, Lance",Texas 5th,@RepLanceGooden
"Gosar, Paul A.",Arizona 4th,@RepGosar
"Gottheimer, Josh",New Jersey 5th,@RepJoshG
"Granger, Kay",Texas 12th,@RepKayGranger
"Graves, Garret",Louisiana 6th,@RepGarretGraves
"Graves, Sam",Missouri 6th,@RepSamGraves
"Graves, Tom",Georgia 14th,@RepTomGraves
"Green, Al",Texas 9th,@RepAlGreen
"Green, Mark",Tennessee 7th,@RepMarkGreen
"Griffith, Morgan",Virginia 9th,@RepMGriffith
"Grijalva, Raul",Arizona 3rd,@RepRaulGrijalva
"Grothman, Glenn",Wisconsin 6th,@RepGrothman
"Guest, Michael",Mississippi 3rd,@RepMichaelGuest
"Guthrie, S. Brett",Kentucky 2nd,@RepGuthrie
"Haaland, Debra",New Mexico 1st,@RepDebHaaland
"Hagedorn, Jim",Minnesota 1st,@RepHagedorn
"Harder, Josh",California 10th,@RepJoshHarder
"Harris, Andy",Maryland 1st,@RepAndyHarrisMD
"Hartzler, Vicky",Missouri 4th,@RepHartzler
"Hastings, Alcee L.",Florida 20th,@RepHastingsFL
"Hayes, Jahana",Connecticut 5th,@RepJahanaHayes
"Heck, Denny",Washington 10th,@RepDennyHeck
"Hern, Kevin",Oklahoma 1st,@repkevinhern
"Herrera Beutler, Jaime",Washington 3rd,@HerreraBeutler
"Hice, Jody",Georgia 10th,@CongressmanHice
"Higgins, Brian",New York 26th,@RepBrianHiggins
"Higgins, Clay",Louisiana 3rd,@RepClayHiggins
"Hill, French",Arkansas 2nd,@RepFrenchHill
"Hill, Katie",California 25th,@RepKatieHill
"Himes, Jim",Connecticut 4th,@jahimes
"Holding, George",North Carolina 2nd,@RepHolding
"Hollingsworth, Trey",Indiana 9th,@RepTrey
"Horn, Kendra",Oklahoma 5th,@RepKendraHorn
"Horsford, Steven",Nevada 4th,@RepHorsford
"Houlahan, Chrissy",Pennsylvania 6th,@RepHoulahan
"Hoyer, Steny H.",Maryland 5th,@LeaderHoyer
"Hudson, Richard",North Carolina 8th,@RepRichHudson
"Huffman, Jared",California 2nd,@RepHuffman
"Huizenga, Bill",Michigan 2nd,@RepHuizenga
"Hunter, Duncan D.",California 50th,@Rep_Hunter
"Hurd, Will",Texas 23rd,@HurdOnTheHill
"Jackson Lee, Sheila",Texas 18th,@JacksonLeeTX18
"Jayapal, Pramila",Washington 7th,@RepJayapal
"Jeffries, Hakeem",New York 8th,@RepJeffries
"Johnson, Bill",Ohio 6th,@RepBillJohnson
"Johnson, Dusty",South Dakota At Large,@RepDustyJohnson
"Johnson, Eddie Bernice",Texas 30th,@RepBillJohnson
"Johnson, Henry C. ""Hank"" Jr.",Georgia 4th,@RepHankJohnson
"Johnson, Mike",Louisiana 4th,@RepMikeJohnson
"Jones, Walter B.",North Carolina 3rd,@RepWalterJones
"Jordan, Jim",Ohio 4th,@Jim_Jordan
"Joyce, David",Ohio 14th,@RepDaveJoyce
"Joyce, John",Pennsylvania 13th,@RepJohnJoyce
"Kaptur, Marcy",Ohio 9th,@RepMarcyKaptur
"Katko, John",New York 24th,@RepJohnKatko
"Keating, William",Massachusetts 9th,@USRepKeating
"Kelly, Mike",Pennsylvania 16th,@MikeKellyPA
"Kelly, Robin",Illinois 2nd,@RepRobinKelly
"Kelly, Trent",Mississippi 1st,@RepTrentKelly
"Kennedy III, Joseph P.",Massachusetts 4th,@RepJoeKennedy
"Khanna, Ro",California 17th,@RepRoKhanna
"Kildee, Daniel",Michigan 5th,@RepDanKildee
"Kilmer, Derek",Washington 6th,@RepDerekKilmer
"Kim, Andy",New Jersey 3rd,@RepAndyKimNJ
"Kind, Ron",Wisconsin 3rd,@RepRonKind
"King, Pete",New York 2nd,@RepPeteKing
"King, Steve",Iowa 4th,@SteveKingIA
"Kinzinger, Adam",Illinois 16th,@RepKinzinger
"Kirkpatrick, Ann",Arizona 2nd,@RepKirkpatrick
"Krishnamoorthi, Raja",Illinois 8th,@CongressmanRaja
"Kuster, Ann",New Hampshire 2nd,@RepAnnieKuster
"Kustoff, David",Tennessee 8th,@RepDavidKustoff
"LaHood,Darin",Illinois 18th,@RepLaHood
"LaMalfa, Doug",California 1st,@RepLaMalfa
"Lamb, Conor",Pennsylvania 17th,@RepConorLamb
"Lamborn, Doug",Colorado 5th,@RepDLamborn
"Langevin, Jim",Rhode Island 2nd,@JimLangevin
"Larsen, Rick",Washington 2nd,@RepRickLarsen
"Larson, John B.",Connecticut 1st,@RepJohnLarson
"Latta, Robert E.",Ohio 5th,@boblatta
"Lawrence, Brenda",Michigan 14th,@RepLawrence
"Lawson, Al",Florida 5th,@RepAlLawsonJr
"Lee, Barbara",California 13th,@RepBarbaraLee
"Lee, Susie",Nevada 3rd,@RepSusieLee
"Lesko, Debbie",Arizona 8th,@RepDLesko
"Levin, Andy",Michigan 9th,@RepAndyLevin
"Levin, Mike",California 49th,@RepMikeLevin
"Lewis, John",Georgia 5th,@repjohnlewis
"Lieu, Ted",California 33rd,@RepTedLieu
"Lipinski, Daniel",Illinois 3rd,@RepLipinski
"Loebsack, David",Iowa 2nd,@daveloebsack
"Lofgren, Zoe",California 19th,@RepZoeLofgren
"Long, Billy",Missouri 7th,@USRepLong
"Loudermilk, Barry",Georgia 11th,@RepLoudermilk
"Lowenthal, Alan",California 47th,@RepLowenthal
"Lowey, Nita",New York 17th,@NitaLowey
"Lucas, Frank",Oklahoma 3rd,@RepFrankLucas
"Luetkemeyer, Blaine",Missouri 3rd,@RepBlaine
"Luján, Ben R.",New Mexico 3rd,@repbenraylujan
"Luria, Elaine",Virginia 2nd,@RepElaineLuria
"Lynch, Stephen F.",Massachusetts 8th,@RepStephenLynch
"Malinowski, Tom",New Jersey 7th,@RepMalinowski
"Maloney, Carolyn",New York 12th,@RepMaloney
"Maloney, Sean Patrick",New York 18th,@RepSeanMaloney
"Marchant, Kenny",Texas 24th,@RepKenMarchant
"Marino, Tom",Pennsylvania 12th,
"Marshall, Roger",Kansas 1st,@RepMarshall
"Massie, Thomas",Kentucky 4th,@RepThomasMassie
"Mast, Brian",Florida 18th,@RepBrianMast
"Matsui, Doris O.",California 6th,@DorisMatsui
"McAdams, Ben",Utah 4th,@RepBenMcAdams
"McBath, Lucy",Georgia 6th,@RepLucyMcBath
"McCarthy, Kevin",California 23rd,@GOPLeader
"McCaul, Michael T.",Texas 10th,@RepMcCaul
"McClintock, Tom",California 4th,@RepMcClintock
"McCollum, Betty",Minnesota 4th,@BettyMcCollum04
"McEachin, A. Donald",Virginia 4th,@RepMcEachin
"McGovern, James",Massachusetts 2nd,@RepMcGovern
"McHenry, Patrick T.",North Carolina 10th,@PatrickMcHenry
"McKinley, David",West Virginia 1st,@RepMcKinley
"McNerney, Jerry",California 9th,@RepMcNerney
"Meadows, Mark",North Carolina 11th,@RepMarkMeadows
"Meeks, Gregory W.",New York 5th,@RepGregoryMeeks
"Meng, Grace",New York 6th,@RepGraceMeng
"Meuser, Daniel",Pennsylvania 9th,@RepMeuser
"Miller, Carol",West Virginia 3rd,@RepCarolMiller
"Mitchell, Paul",Michigan 10th,@RepPaulMitchell
"Moolenaar, John",Michigan 4th,@RepMoolenaar
"Mooney, Alex",West Virginia 2nd,@RepAlexMooney
"Moore, Gwen",Wisconsin 4th,@RepGwenMoore
"Morelle, Joseph",New York 25th,@RepJoeMorelle
"Moulton, Seth",Massachusetts 6th,@sethmoulton
"Mucarsel-Powell, Debbie",Florida 26th,@RepDMP
"Mullin, Markwayne",Oklahoma 2nd,@RepMullin
"Murphy, Stephanie",Florida 7th,@RepStephMurphy
"Nadler, Jerrold",New York 10th,@RepJerryNadler
"Napolitano, Grace",California 32nd,@gracenapolitano
"Neal, Richard E.",Massachusetts 1st,@RepRichardNeal
"Neguse, Joe",Colorado 2nd,@RepJoeNeguse
"Newhouse, Dan",Washington 4th,@RepNewhouse
"Norcross, Donald",New Jersey 1st,@DonaldNorcross
"Norman, Ralph",South Carolina 5th,@RepRalphNorman
"Norton, Eleanor Holmes",District of Columbia Delegate,@EleanorNorton
"Nunes, Devin",California 22nd,@DevinNunes
"O'Halleran, Tom",Arizona 1st,@RepOHalleran
"Ocasio-Cortez, Alexandria",New York 14th,@AOC
"Olson, Pete",Texas 22nd,@RepPeteOlson
"Omar, Ilhan",Minnesota 5th,@Ilhan
"Palazzo, Steven",Mississippi 4th,@CongPalazzo
"Pallone Jr., Frank",New Jersey 6th,@FrankPallone
"Palmer, Gary",Alabama 6th,@USRepGaryPalmer
"Panetta, Jimmy",California 20th,@RepJimmyPanetta
"Pappas, Chris",New Hampshire 1st,@RepChrisPappas
"Pascrell Jr., Bill",New Jersey 9th,@BillPascrell
"Payne Jr., Donald",New Jersey 10th,@RepDonaldPayne
"Pelosi, Nancy",California 12th,@SpeakerPelosi
"Pence, Greg",Indiana 6th,@RepGregPence
"Perlmutter, Ed",Colorado 7th,@RepPerlmutter
"Perry, Scott",Pennsylvania 10th,@RepScottPerry
"Peters, Scott",California 52nd,@RepScottPeters
"Peterson, Collin C.",Minnesota 7th,
"Phillips, Dean",Minnesota 3rd,@RepDeanPhillips
"Pingree, Chellie",Maine 1st,@chelliepingree
"Plaskett, Stacey",Virgin Islands Delegate,@StaceyPlaskett
"Pocan, Mark",Wisconsin 2nd,@repmarkpocan
"Porter, Katie",,@RepKatiePorter
"Posey, Bill",Florida 8th,@congbillposey
"Pressley, Ayanna",Massachusetts 7th,@RepPressley
"Price, David",North Carolina 4th,@RepDavidEPrice
"Quigley, Mike",Illinois 5th,@RepMikeQuigley
"Radewagen, Amata",American Samoa Delegate,@RepAmata
"Raskin, Jamie",Maryland 8th,@RepRaskin
"Ratcliffe, John",Texas 4th,@RepRatcliffe
"Reed, Tom",New York 23rd,@RepTomReed
"Reschenthaler, Guy",Pennsylvania 14th,@GReschenthaler
"Rice, Kathleen",New York 4th,@RepKathleenRice
"Rice, Tom",South Carolina 7th,@RepTomRice
"Richmond, Cedric",,@RepRichmond
"Riggleman, Denver",,@RepRiggleman
"Roby, Martha",Alabama 2nd,@RepMarthaRoby
"Rodgers, Cathy McMorris",Washington 5th,@cathymcmorris
"Roe, Phil",Tennessee 1st,@DrPhilRoe
"Rogers, Harold",Kentucky 5th,@RepHalRogers
"Rogers, Mike",Alabama 3rd,@RepMikeRogersAL
"Rooney, Francis",Florida 19th,@RepRooney
"Rose, John W.",Tennessee 6th,@RepJohnRose
"Rose, Max",New York 11th,@RepMaxRose
"Rouda, Harley",California 48th,@RepHarley
"Rouzer, David",North Carolina 7th,@RepDavidRouzer
"Roy, Chip",Texas 21st,@RepChipRoy
"Roybal-Allard, Lucille",California 40th,@RepRoybalAllard
"Ruiz, Raul",California 36th,@CongressmanRuiz
"Ruppersberger, C. A. Dutch",Maryland 2nd,@Call_Me_Dutch
"Rush, Bobby L.",Illinois 1st,@RepBobbyRush
"Rutherford, John",Florida 4th,@RepRutherfordFL
"Ryan, Tim",Ohio 13th,@RepTimRyan
"Sablan, Gregorio",Northern Mariana Islands Delegate,
"San Nicolas, Michael F. Q.",Guam Delegate,
"Sánchez, Linda",California 38th,@RepLindaSanchez
"Sarbanes, John P.",Maryland 3rd,@RepSarbanes
"Scalise, Steve",Louisiana 1st,@SteveScalise
"Scanlon, Mary Gay",Pennsylvania 5th,@RepMGS
"Schakowsky, Jan",Illinois 9th,@janschakowsky
"Schiff, Adam",California 28th,@RepAdamSchiff
"Schneider, Bradley",Illinois 10th,@RepSchneider
"Schrader, Kurt",Oregon 5th,@RepSchrader
"Schrier, Kim",Washington 8th,@RepKimSchrier
"Schweikert, David",Arizona 6th,@RepDavid
"Scott, Austin",Georgia 8th,@AustinScottGA08
"Scott, David",Georgia 13th,@repdavidscott
"Scott, Robert C.",Virginia 3rd,@BobbyScott
"Sensenbrenner, F. James",Wisconsin 5th,@JimPressOffice
"Serrano, José E.",New York 15th,@RepJoseSerrano
"Sewell, Terri A.",Alabama 7th,@RepTerriSewell
"Shalala, Donna E.",Florida 27th,@RepShalala
"Sherman, Brad",California 30th,@BradSherman
"Sherrill, Mikie",New Jersey 11th,@RepSherrill
"Shimkus, John",Illinois 15th,@RepShimkus
"Simpson, Mike",Idaho 2nd,@CongMikeSimpson
"Sires, Albio",New Jersey 8th,@RepSires
"Slotkin, Elissa",Michigan 8th,@RepSlotkin
"Smith, Adam",Washington 9th,@RepAdamSmith
"Smith, Adrian",Nebraska 3rd,@RepAdrianSmith
"Smith, Chris",New Jersey 4th,@RepChrisSmith
"Smith, Jason",Missouri 8th,@RepJasonSmith
"Smucker, Lloyd",Pennsylvania 11th,@RepSmucker
"Soto, Darren",Florida 9th,@RepDarrenSoto
"Spanberger, Abigail",Virginia 7th,@RepSpanberger
"Spano, Ross",Florida 15th,
"Speier, Jackie",California 14th,@RepSpeier
"Stanton, Greg",Arizona 9th,@RepGregStanton
"Stauber, Pete",Minnesota 8th,@RepPeteStauber
"Stefanik, Elise",New York 21st,@RepStefanik
"Steil, Bryan",Wisconsin 1st,@RepBryanSteil
"Steube, W. Gregory",Florida 17th,@RepGregSteube
"Stevens, Haley",Michigan 11th,@RepHaleyStevens
"Stewart, Chris",Utah 2nd,@RepChrisStewart
"Stivers, Steve",Ohio 15th,@RepSteveStivers
"Suozzi, Thomas",New York 3rd,@RepTomSuozzi
"Swalwell, Eric",California 15th,@RepSwalwell
"Takano, Mark",California 41st,@RepMarkTakano
"Taylor, Van",Texas 3rd,@RepVanTaylor
"Thompson, Bennie G.",Mississippi 2nd,@BennieGThompson
"Thompson, Glenn",Pennsylvania 15th,@CongressmanGT
"Thompson, Mike",California 5th,@RepThompson
"Thornberry, Mac",Texas 13th,@MacTXPress
"Timmons, William",South Carolina 4th,@reptimmons
"Tipton, Scott",Colorado 3rd,@RepTipton
"Titus, Dina",Nevada 1st,@repdinatitus
"Tlaib, Rashida",Michigan 13th,@RepRashida
"Tonko, Paul D.",New York 20th,@RepPaulTonko
"Torres Small, Xochitl",New Mexico 2nd,@RepTorresSmall
"Torres, Norma",California 35th,@NormaJTorres
"Trahan, Lori",Massachusetts 3rd,@RepLoriTrahan
"Trone, David",Maryland 6th,@RepDavidTrone
"Turner, Michael",Ohio 10th,@RepMikeTurner
"Underwood, Lauren",Illinois 14th,@RepUnderwood
"Upton, Fred",Michigan 6th,@RepFredUpton
"Van Drew, Jefferson",New Jersey 2nd,@CongressmanJVD
"Vargas, Juan",California 51st,@RepJuanVargas
"Veasey, Marc",Texas 33rd,@RepVeasey
"Vela, Filemon",Texas 34th,@RepFilemonVela
"Velázquez, Nydia M.",New York 7th,@NydiaVelazquez
"Visclosky, Peter",Indiana 1st,@RepVisclosky
"Wagner, Ann",Missouri 2nd,@RepAnnWagner
"Walberg, Tim",Michigan 7th,@RepWalberg
"Walden, Greg",Oregon 2nd,@repgregwalden
"Walker, Mark",North Carolina 6th,@RepMarkWalker
"Walorski, Jackie",Indiana 2nd,@RepWalorski
"Waltz, Michael",Florida 6th,@RepMichaelWaltz
"Wasserman Schultz, Debbie",Florida 23rd,@RepDWStweets
"Waters, Maxine",California 43rd,@RepMaxineWaters
"Watkins, Steve",Kansas 2nd,@Rep_Watkins
"Watson Coleman, Bonnie",New Jersey 12th,@RepBonnie
"Weber, Randy",Texas 14th,@TXRandy14
"Webster, Daniel",Florida 11th,@RepWebster
"Welch, Peter",Vermont At Large,@PeterWelch
"Wenstrup, Brad",Ohio 2nd,@RepBradWenstrup
"Westerman, Bruce",Arkansas 4th,@RepWesterman
"Wexton, Jennifer",Virginia 10th,@RepWexton
"Wild, Susan",Pennsylvania 7th,@RepSusanWild
"Williams, Roger",Texas 25th,@RepRWilliams
"Wilson, Frederica",Florida 24th,@RepWilson
"Wilson, Joe",South Carolina 2nd,@RepJoeWilson
"Wittman, Robert J.",Virginia 1st,@RobWittman
"Womack, Steve",Arkansas 3rd,@rep_stevewomack
"Woodall, Robert",Georgia 7th,@RepRobWoodall
"Wright, Ron",Texas 6th,@RepRonWright
"Yarmuth, John A.",Kentucky 3rd,@RepJohnYarmuth
"Yoho, Ted",Florida 3rd,@RepTedYoho
"Young, Don",Alaska At Large,@repdonyoung
"Zeldin, Lee",New York 1st,@RepLeeZeldin
